nohup: ignoring input
Loaded 600 graphs for dataset ENZYMES
total graph num: 587, training set: 469
max number node: 125
max/min number edge: 149; 16
max previous node: 25
Epoch: 720/3000, train loss: 0.050875, graph type: grid, num_layer: 4, hidden: 128
Epoch: 730/3000, train loss: 0.056965, graph type: grid, num_layer: 4, hidden: 128
Epoch: 740/3000, train loss: 0.044829, graph type: grid, num_layer: 4, hidden: 128
Epoch: 750/3000, train loss: 0.066879, graph type: grid, num_layer: 4, hidden: 128
Epoch: 760/3000, train loss: 0.056105, graph type: grid, num_layer: 4, hidden: 128
Epoch: 770/3000, train loss: 0.049628, graph type: grid, num_layer: 4, hidden: 128
Epoch: 780/3000, train loss: 0.028118, graph type: grid, num_layer: 4, hidden: 128
Epoch: 790/3000, train loss: 0.043531, graph type: grid, num_layer: 4, hidden: 128
Epoch: 800/3000, train loss: 0.029488, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 810/3000, train loss: 0.046422, graph type: grid, num_layer: 4, hidden: 128
Epoch: 820/3000, train loss: 0.059204, graph type: grid, num_layer: 4, hidden: 128
Epoch: 830/3000, train loss: 0.031553, graph type: grid, num_layer: 4, hidden: 128
Epoch: 840/3000, train loss: 0.044119, graph type: grid, num_layer: 4, hidden: 128
Epoch: 850/3000, train loss: 0.047739, graph type: grid, num_layer: 4, hidden: 128
Epoch: 860/3000, train loss: 0.051146, graph type: grid, num_layer: 4, hidden: 128
Epoch: 870/3000, train loss: 0.051204, graph type: grid, num_layer: 4, hidden: 128
Epoch: 880/3000, train loss: 0.058060, graph type: grid, num_layer: 4, hidden: 128
Epoch: 890/3000, train loss: 0.060606, graph type: grid, num_layer: 4, hidden: 128
Epoch: 900/3000, train loss: 0.056695, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 910/3000, train loss: 0.050992, graph type: grid, num_layer: 4, hidden: 128
Epoch: 920/3000, train loss: 0.027266, graph type: grid, num_layer: 4, hidden: 128
Epoch: 930/3000, train loss: 0.034309, graph type: grid, num_layer: 4, hidden: 128
Epoch: 940/3000, train loss: 0.030075, graph type: grid, num_layer: 4, hidden: 128
Epoch: 950/3000, train loss: 0.058403, graph type: grid, num_layer: 4, hidden: 128
Epoch: 960/3000, train loss: 0.058905, graph type: grid, num_layer: 4, hidden: 128
Epoch: 970/3000, train loss: 0.053652, graph type: grid, num_layer: 4, hidden: 128
Epoch: 980/3000, train loss: 0.039038, graph type: grid, num_layer: 4, hidden: 128
Epoch: 990/3000, train loss: 0.023941, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1000/3000, train loss: 0.037481, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1010/3000, train loss: 0.032953, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1020/3000, train loss: 0.031105, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1030/3000, train loss: 0.058840, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1040/3000, train loss: 0.055540, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1050/3000, train loss: 0.055571, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1060/3000, train loss: 0.053065, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1070/3000, train loss: 0.054458, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1080/3000, train loss: 0.027315, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1090/3000, train loss: 0.063792, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1100/3000, train loss: 0.066634, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1110/3000, train loss: 0.071358, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1120/3000, train loss: 0.065408, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1130/3000, train loss: 0.039354, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1140/3000, train loss: 0.026361, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1150/3000, train loss: 0.058430, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1160/3000, train loss: 0.043742, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1170/3000, train loss: 0.059177, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1180/3000, train loss: 0.058835, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1190/3000, train loss: 0.061635, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1200/3000, train loss: 0.029138, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1210/3000, train loss: 0.052296, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1220/3000, train loss: 0.037318, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1230/3000, train loss: 0.045215, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1240/3000, train loss: 0.047596, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1250/3000, train loss: 0.038099, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1260/3000, train loss: 0.039284, graph type: grid, num_layer: 4, hidden: 128
