nohup: ignoring input
Loaded 600 graphs for dataset ENZYMES
total graph num: 587, training set: 469
max number node: 125
max/min number edge: 149; 16
max previous node: 3
Epoch: 720/3000, train loss: 0.442811, graph type: grid, num_layer: 4, hidden: 128
Epoch: 730/3000, train loss: 0.462164, graph type: grid, num_layer: 4, hidden: 128
Epoch: 740/3000, train loss: 0.427726, graph type: grid, num_layer: 4, hidden: 128
Epoch: 750/3000, train loss: 0.457843, graph type: grid, num_layer: 4, hidden: 128
Epoch: 760/3000, train loss: 0.423366, graph type: grid, num_layer: 4, hidden: 128
Epoch: 770/3000, train loss: 0.467475, graph type: grid, num_layer: 4, hidden: 128
Epoch: 780/3000, train loss: 0.438752, graph type: grid, num_layer: 4, hidden: 128
Epoch: 790/3000, train loss: 0.461427, graph type: grid, num_layer: 4, hidden: 128
Epoch: 800/3000, train loss: 0.366388, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 810/3000, train loss: 0.468751, graph type: grid, num_layer: 4, hidden: 128
Epoch: 820/3000, train loss: 0.449726, graph type: grid, num_layer: 4, hidden: 128
Epoch: 830/3000, train loss: 0.417678, graph type: grid, num_layer: 4, hidden: 128
Epoch: 840/3000, train loss: 0.411993, graph type: grid, num_layer: 4, hidden: 128
Epoch: 850/3000, train loss: 0.411416, graph type: grid, num_layer: 4, hidden: 128
Epoch: 860/3000, train loss: 0.475839, graph type: grid, num_layer: 4, hidden: 128
Epoch: 870/3000, train loss: 0.444726, graph type: grid, num_layer: 4, hidden: 128
Epoch: 880/3000, train loss: 0.466200, graph type: grid, num_layer: 4, hidden: 128
Epoch: 890/3000, train loss: 0.444570, graph type: grid, num_layer: 4, hidden: 128
Epoch: 900/3000, train loss: 0.452464, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 910/3000, train loss: 0.461067, graph type: grid, num_layer: 4, hidden: 128
Epoch: 920/3000, train loss: 0.434547, graph type: grid, num_layer: 4, hidden: 128
Epoch: 930/3000, train loss: 0.439304, graph type: grid, num_layer: 4, hidden: 128
Epoch: 940/3000, train loss: 0.431994, graph type: grid, num_layer: 4, hidden: 128
Epoch: 950/3000, train loss: 0.439329, graph type: grid, num_layer: 4, hidden: 128
Epoch: 960/3000, train loss: 0.468320, graph type: grid, num_layer: 4, hidden: 128
Epoch: 970/3000, train loss: 0.456590, graph type: grid, num_layer: 4, hidden: 128
Epoch: 980/3000, train loss: 0.452922, graph type: grid, num_layer: 4, hidden: 128
Epoch: 990/3000, train loss: 0.375081, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1000/3000, train loss: 0.425131, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1010/3000, train loss: 0.489752, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1020/3000, train loss: 0.438822, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1030/3000, train loss: 0.451942, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1040/3000, train loss: 0.442582, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1050/3000, train loss: 0.408812, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1060/3000, train loss: 0.437103, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1070/3000, train loss: 0.448858, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1080/3000, train loss: 0.482341, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1090/3000, train loss: 0.443418, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1100/3000, train loss: 0.437222, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1110/3000, train loss: 0.431657, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1120/3000, train loss: 0.443845, graph type: grid, num_layer: 4, hidden: 128
